key|en-US|es|fr
dashboard_title|ChargeLab Dashboard|ChargeLab Dashboard|ChargeLab Dashboard
export_csv|Export CSV|Export CSV|Export CSV
export_pdf|Export PDF|Export PDF|Export PDF
coming_soon|Coming Soon|Coming Soon|Coming Soon
available|Available|Available|Available
preparing|Preparing|Preparing|Preparing
charging|Charging|Charging|Charging
scheduled|Scheduled|Scheduled|Scheduled
offline|Offline|Offline|Offline
out_of_order|Out of order|Out of order|Out of order
clear|Clear|Clear|Clear
search|Search|Search|Search
chargers_overview|CHARGER OVERVIEW|CHARGER OVERVIEW|CHARGER OVERVIEW
chargers_status_all_online|All Chargers are online|All Chargers are online|All Chargers are online
chargers_status_has_trouble|chargers may need your attention|chargers may need your attention|chargers may need your attention
chargers_trouble_desc|The issue has been reported and is being investigated. In the meantime, the following steps often resolve common problems:|The issue has been reported and is being investigated. In the meantime, the following steps often resolve common problems:|The issue has been reported and is being investigated. In the meantime, the following steps often resolve common problems:
chargers_trouble_solution_1|Confirm that the charger that needs attention is powered on|Confirm that the charger that needs attention is powered on|Confirm that the charger that needs attention is powered on
chargers_trouble_solition_2|If the charger that needs attention is connected to the Internet via WiFi, try rebooting your WiFi router|If the charger that needs attention is connected to the Internet via WiFi, try rebooting your WiFi router|If the charger that needs attention is connected to the Internet via WiFi, try rebooting your WiFi router
chargers_trouble_solution_3|Try rebooting your charger|Try rebooting your charger|Try rebooting your charger
location|Location|Location|Location
status|Status|Status|Status
all_location|All Locations|All Locations|All Locations
charger|Charger|Charger|Charger
chargers_grid_lastUsed|Last used|Last used|Last used
chargers_grid_note|Note|Note|Note
pricing|Pricing|Pricing|Pricing
access|Access|Access|Access
chargers_price_free|Free|Free|Free
vertical_bar_chart_no_data|No Data|No Data|No Data
vertical_bar_chart_no_data_desc|Monthly charging history will be shown here|Monthly charging history will be shown here|Monthly charging history will be shown here
overview_charger_status|Charger status|Charger status|Charger status
date_picker_last_week|Last week|Last week|Last week
date_picker_last_month|Last month|Last month|Last month
date_picker_custom_range|Custom range|Custom range|Custom range
chargers_price_paid|Paid|Paid|Paid
overview|Overview|Overview|Overview
chargers|Chargers|Chargers|Chargers
company|Company|Company|Company
payout|payout|payout|payout
rfid|rfid|rfid|rfid
learning|learning|learning|learning
help|help|help|help
charger_detail|Charger Detail|Charger Detail|Charger Detail
charger_make|Make/Model|Make/Model|Make/Model
charger_serial_number|Serial number|Serial number|Serial number
charger_connectors|Connectors|Connectors|Connectors
charger_location|Location|Location|Location
charger_address|Address|Address|Address
charger_status|Status|Status|Status
charger_last_used|Last used|Last used|Last used
charger_actions|Actions|Actions|Actions
charger_additional_info|Additional Info|Additional Info|Additional Info
charger_directions|Directions|Directions|Directions
charger_parking_space|Parking space #|Parking space #|Parking space #
charger_unit|Unit #|Unit #|Unit #
charger_internal_note|Internal note|Internal note|Internal note
charger_settings|Settings|Settings|Settings
charger_pricing|Pricing|Pricing|Pricing
charger_access|Access|Access|Access
charger_auto_start|Auto-start|Auto-start|Auto-start
charger_detail_error|This charger is currently out of order|This charger is currently out of order|This charger is currently out of order
charger_detail_err_button|View troubleshooting guide|View troubleshooting guide|View troubleshooting guide